2018-12-29 12:21:52:593 CN: new_year_set, uid:1012s207p2308776, accumulative success, id:2
2018-12-29 12:45:53:375 CN: new_year_set, uid:1006s206p3581690, accumulative success, id:2
2018-12-29 12:45:57:600 CN: new_year_set, uid:1006s206p3581690, accumulative success, id:5
2018-12-29 15:17:09:182 CN: new_year_set, uid:1017s203p3802302, accumulative success, id:2
2018-12-29 15:17:12:524 CN: new_year_set, uid:1017s203p3802302, accumulative success, id:5
2018-12-29 15:29:04:818 CN: new_year_set, uid:1005s211p1434570, accumulative success, id:2
2018-12-29 15:29:15:582 CN: new_year_set, uid:1005s211p1434570, accumulative success, id:5
2018-12-29 15:38:32:103 CN: new_year_set, uid:1012s207p2308776, accumulative success, id:5
2018-12-29 15:43:51:486 CN: new_year_set, uid:1016s207p2336183, accumulative success, id:2
2018-12-29 15:43:53:866 CN: new_year_set, uid:1016s207p2336183, accumulative success, id:5
2018-12-29 16:00:57:302 CN: new_year_set, uid:1002s204p2270810, accumulative success, id:2
2018-12-29 16:00:58:819 CN: new_year_set, uid:1002s204p2270810, accumulative success, id:5
2018-12-29 17:12:34:472 CN: new_year_set, uid:1011s204p2275672, accumulative success, id:2
2018-12-29 17:12:36:021 CN: new_year_set, uid:1011s204p2275672, accumulative success, id:5
2018-12-29 17:22:14:242 CN: new_year_set, uid:1011s207p2312106, accumulative success, id:2
2018-12-29 17:22:15:962 CN: new_year_set, uid:1011s207p2312106, accumulative success, id:5
2018-12-29 17:35:36:896 CN: new_year_set, uid:1011s203p2274967, accumulative success, id:2
2018-12-29 17:35:42:947 CN: new_year_set, uid:1011s203p2274967, accumulative success, id:5
2018-12-29 17:51:24:603 CN: new_year_set, uid:1002s205p2296092, accumulative success, id:2
2018-12-29 17:51:26:043 CN: new_year_set, uid:1002s205p2296092, accumulative success, id:5
2018-12-29 18:42:23:771 CN: new_year_set, uid:1012s203p2322996, accumulative success, id:2
2018-12-29 19:59:32:215 CN: new_year_set, uid:1001s208p2305008, accumulative success, id:2
2018-12-29 20:14:06:207 CN: new_year_set, uid:1001s208p2305008, accumulative success, id:5
2018-12-29 20:25:12:136 CN: new_year_set, uid:1012s203p2268495, accumulative success, id:5
2018-12-29 20:25:13:047 CN: new_year_set, uid:1012s203p2268495, accumulative success, id:2
2018-12-29 21:22:44:340 CN: new_year_set, uid:1002s204p2278042, accumulative success, id:5
2018-12-29 21:22:46:635 CN: new_year_set, uid:1002s204p2278042, accumulative success, id:2
2018-12-29 21:48:07:580 CN: new_year_set, uid:1011s205p2289805, accumulative success, id:2
2018-12-29 21:48:08:345 CN: new_year_set, uid:1011s205p2289805, accumulative success, id:5
2018-12-29 22:35:55:550 CN: new_year_set, uid:1011s206p2280268, accumulative success, id:5
2018-12-29 22:35:56:263 CN: new_year_set, uid:1011s206p2280268, accumulative success, id:2
2018-12-29 22:49:34:761 CN: new_year_set, uid:1001s204p2286029, accumulative success, id:2
2018-12-29 22:49:38:710 CN: new_year_set, uid:1001s204p2286029, accumulative success, id:5
2018-12-29 22:51:02:956 CN: new_year_set, uid:1016s209p2335343, accumulative success, id:2
2018-12-29 22:51:05:664 CN: new_year_set, uid:1016s209p2335343, accumulative success, id:5
2018-12-29 23:04:03:625 CN: new_year_set, uid:1002s205p2295217, accumulative success, id:2
2018-12-29 23:10:41:963 CN: new_year_set, uid:1000s204p2279363, accumulative success, id:2
2018-12-29 23:10:46:684 CN: new_year_set, uid:1000s204p2279363, accumulative success, id:5
2018-12-29 23:13:30:520 CN: new_year_set, uid:1012s204p2417302, accumulative success, id:2
2018-12-29 23:24:21:670 CN: new_year_set, uid:1012s204p2417302, accumulative success, id:5
2018-12-30 00:11:42:344 CN: new_year_set, uid:1012s204p2307004, accumulative success, id:2
2018-12-30 00:12:49:481 CN: new_year_set, uid:1000s204p2286453, accumulative success, id:2
2018-12-30 00:12:50:520 CN: new_year_set, uid:1000s204p2286453, accumulative success, id:5
2018-12-30 00:13:43:029 CN: new_year_set, uid:1012s208p2456167, accumulative success, id:2
2018-12-30 00:13:46:067 CN: new_year_set, uid:1012s208p2456167, accumulative success, id:5
2018-12-30 04:19:52:093 CN: new_year_set, uid:1012s203p2322996, accumulative success, id:5
2018-12-30 07:21:28:527 CN: new_year_set, uid:1011s204p2275672, accumulative success, id:9
2018-12-30 08:24:53:866 CN: new_year_set, uid:1005s207p2307450, accumulative success, id:2
2018-12-30 08:24:57:077 CN: new_year_set, uid:1005s207p2307450, accumulative success, id:5
2018-12-30 08:28:41:606 CN: new_year_set, uid:1005s211p1434570, accumulative success, id:9
2018-12-30 09:42:28:755 CN: new_year_set, uid:1012s207p2308776, accumulative success, id:9
2018-12-30 09:53:23:837 CN: new_year_set, uid:1012s208p2362185, accumulative success, id:2
2018-12-30 09:53:25:066 CN: new_year_set, uid:1012s208p2362185, accumulative success, id:5
2018-12-30 09:54:42:929 CN: new_year_set, uid:1016s207p2318322, accumulative success, id:2
2018-12-30 09:54:45:111 CN: new_year_set, uid:1016s207p2318322, accumulative success, id:5
2018-12-30 09:54:47:289 CN: new_year_set, uid:1016s207p2318322, accumulative success, id:9
2018-12-30 09:58:43:047 CN: new_year_set, uid:1012s208p2318783, accumulative success, id:2
2018-12-30 09:58:44:280 CN: new_year_set, uid:1012s208p2318783, accumulative success, id:5
2018-12-30 10:08:31:784 CN: new_year_set, uid:1012s208p2456167, accumulative success, id:9
2018-12-30 10:14:55:207 CN: new_year_set, uid:1004s205p2299294, accumulative success, id:2
2018-12-30 10:14:57:612 CN: new_year_set, uid:1004s205p2299294, accumulative success, id:5
2018-12-30 10:15:44:252 CN: new_year_set, uid:1004s205p2299294, accumulative success, id:9
2018-12-30 10:32:51:362 CN: new_year_set, uid:1000s208p2266678, accumulative success, id:2
2018-12-30 10:32:55:848 CN: new_year_set, uid:1000s208p2266678, accumulative success, id:5
2018-12-30 10:52:15:819 CN: new_year_set, uid:1000s204p2279363, accumulative success, id:9
2018-12-30 11:05:20:929 CN: new_year_set, uid:1012s209p2336826, accumulative success, id:2
2018-12-30 11:05:22:278 CN: new_year_set, uid:1012s209p2336826, accumulative success, id:5
2018-12-30 11:17:43:623 CN: new_year_set, uid:1011s207p2312106, accumulative success, id:9
2018-12-30 11:50:14:984 CN: new_year_set, uid:1000s204p2286453, accumulative success, id:9
2018-12-30 11:56:56:492 CN: new_year_set, uid:1005s207p2307450, accumulative success, id:9
2018-12-30 12:18:18:709 CN: new_year_set, uid:1012s204p2417302, accumulative success, id:9
2018-12-30 12:22:29:395 CN: new_year_set, uid:1006s206p3581690, accumulative success, id:9
2018-12-30 12:32:33:539 CN: new_year_set, uid:1006s206p5986099, accumulative success, id:5
2018-12-30 12:32:34:749 CN: new_year_set, uid:1006s206p5986099, accumulative success, id:2
2018-12-30 12:54:56:561 CN: new_year_set, uid:1011s203p2274967, accumulative success, id:9
2018-12-30 13:16:37:547 CN: new_year_set, uid:1016s208p2327635, accumulative success, id:2
2018-12-30 13:16:40:601 CN: new_year_set, uid:1016s208p2327635, accumulative success, id:5
2018-12-30 13:57:41:949 CN: new_year_set, uid:1000s203p2236944, accumulative success, id:2
2018-12-30 13:57:43:055 CN: new_year_set, uid:1000s203p2236944, accumulative success, id:5
2018-12-30 14:01:04:083 CN: new_year_set, uid:1016s207p2312434, accumulative success, id:2
2018-12-30 14:01:06:560 CN: new_year_set, uid:1016s207p2312434, accumulative success, id:5
2018-12-30 14:39:59:106 CN: new_year_set, uid:1000s203p2236944, accumulative success, id:9
2018-12-30 14:40:10:731 CN: new_year_set, uid:1005s211p2361082, accumulative success, id:2
2018-12-30 15:00:38:991 CN: new_year_set, uid:1006s203p2257324, accumulative success, id:2
2018-12-30 15:00:41:088 CN: new_year_set, uid:1006s203p2257324, accumulative success, id:5
2018-12-30 15:01:17:645 CN: new_year_set, uid:1005s211p2361082, accumulative success, id:5
2018-12-30 15:18:33:422 CN: new_year_set, uid:1016s209p2335343, accumulative success, id:9
2018-12-30 15:22:24:806 CN: new_year_set, uid:1017s203p3802302, accumulative success, id:9
2018-12-30 15:23:47:038 CN: new_year_set, uid:1012s203p2511033, accumulative success, id:2
2018-12-30 15:23:48:350 CN: new_year_set, uid:1012s203p2511033, accumulative success, id:5
2018-12-30 15:34:46:812 CN: new_year_set, uid:1016s208p2322935, accumulative success, id:2
2018-12-30 15:35:15:261 CN: new_year_set, uid:1016s208p2322935, accumulative success, id:5
2018-12-30 15:49:47:432 CN: new_year_set, uid:1002s205p2296092, accumulative success, id:9
2018-12-30 15:57:34:826 CN: new_year_set, uid:1002s205p2252376, accumulative success, id:2
2018-12-30 15:57:35:967 CN: new_year_set, uid:1002s205p2252376, accumulative success, id:5
2018-12-30 15:57:37:950 CN: new_year_set, uid:1002s205p2252376, accumulative success, id:9
2018-12-30 16:29:34:884 CN: new_year_set, uid:1000s208p2266678, accumulative success, id:9
