2018-12-29 12:23:18:269 CN: new_year_set, uid:3s14p8493490, accumulative success, id:2
2018-12-29 12:23:21:445 CN: new_year_set, uid:3s14p8493490, accumulative success, id:5
2018-12-29 12:39:50:477 CN: new_year_set, uid:3s19p1077731, accumulative success, id:2
2018-12-29 12:43:01:326 CN: new_year_set, uid:6s20p348654, accumulative success, id:2
2018-12-29 12:43:02:425 CN: new_year_set, uid:6s20p348654, accumulative success, id:5
2018-12-29 12:45:22:043 CN: new_year_set, uid:4s20p352396, accumulative success, id:2
2018-12-29 12:47:17:374 CN: new_year_set, uid:4s20p352396, accumulative success, id:5
2018-12-29 12:47:43:621 CN: new_year_set, uid:4s17p7710847, accumulative success, id:2
2018-12-29 12:48:27:457 CN: new_year_set, uid:23s14p308692, accumulative success, id:2
2018-12-29 12:49:32:701 CN: new_year_set, uid:3s14p3078513, accumulative success, id:2
2018-12-29 12:54:34:807 CN: new_year_set, uid:3s12p23925, accumulative success, id:2
2018-12-29 13:00:03:253 CN: new_year_set, uid:4s16p2751914, accumulative success, id:2
2018-12-29 13:00:18:234 CN: new_year_set, uid:4s16p2751914, accumulative success, id:5
2018-12-29 13:10:52:581 CN: new_year_set, uid:80s11p8629737, accumulative success, id:2
2018-12-29 13:16:14:764 CN: new_year_set, uid:3s14p3078513, accumulative success, id:5
2018-12-29 13:22:16:565 CN: new_year_set, uid:4s18p107837, accumulative success, id:2
2018-12-29 13:22:55:395 CN: new_year_set, uid:4s15p393553, accumulative success, id:2
2018-12-29 13:22:57:109 CN: new_year_set, uid:4s15p393553, accumulative success, id:5
2018-12-29 13:31:51:468 CN: new_year_set, uid:32s13p4210357, accumulative success, id:2
2018-12-29 13:31:54:393 CN: new_year_set, uid:32s13p4210357, accumulative success, id:5
2018-12-29 13:32:36:529 CN: new_year_set, uid:3s11p6831975, accumulative success, id:2
2018-12-29 13:32:38:316 CN: new_year_set, uid:3s11p6831975, accumulative success, id:5
2018-12-29 13:33:41:926 CN: new_year_set, uid:5s16p3885143, accumulative success, id:2
2018-12-29 13:33:57:059 CN: new_year_set, uid:5s16p3885143, accumulative success, id:5
2018-12-29 13:38:46:182 CN: new_year_set, uid:18s17p23424076, accumulative success, id:2
2018-12-29 14:06:17:096 CN: new_year_set, uid:26s15p222434, accumulative success, id:2
2018-12-29 14:06:20:035 CN: new_year_set, uid:26s15p222434, accumulative success, id:5
2018-12-29 14:16:34:786 CN: new_year_set, uid:3s15p24222640, accumulative success, id:2
