2018-12-29 10:34:16:471 CN: new_year_set, uid:62s156p2050816, accumulative success, id:2
2018-12-29 10:41:44:627 CN: new_year_set, uid:62s156p2050816, accumulative success, id:5
2018-12-29 10:55:22:258 CN: new_year_set, uid:62s159p1451601, accumulative success, id:2
2018-12-29 10:55:24:158 CN: new_year_set, uid:62s159p1451601, accumulative success, id:5
2018-12-29 12:19:56:652 CN: new_year_set, uid:62s156p665908, accumulative success, id:2
2018-12-29 12:21:15:078 CN: new_year_set, uid:62s154p1427280, accumulative success, id:2
2018-12-29 12:31:17:903 CN: new_year_set, uid:62s154p971647, accumulative success, id:2
2018-12-29 12:36:58:548 CN: new_year_set, uid:62s154p1283056, accumulative success, id:2
2018-12-29 12:37:20:493 CN: new_year_set, uid:62s153p1410525, accumulative success, id:2
2018-12-29 12:38:04:411 CN: new_year_set, uid:62s153p1410525, accumulative success, id:5
2018-12-29 12:38:27:613 CN: new_year_set, uid:62s151p2077110, accumulative success, id:2
2018-12-29 12:38:52:565 CN: new_year_set, uid:62s154p1428151, accumulative success, id:2
2018-12-29 12:42:23:160 CN: new_year_set, uid:62s158p1454987, accumulative success, id:2
2018-12-29 12:44:02:002 CN: new_year_set, uid:62s155p547302, accumulative success, id:2
2018-12-29 12:44:04:274 CN: new_year_set, uid:62s155p547302, accumulative success, id:5
2018-12-29 12:45:27:514 CN: new_year_set, uid:62s152p1415763, accumulative success, id:2
2018-12-29 12:45:44:092 CN: new_year_set, uid:62s152p1415763, accumulative success, id:5
2018-12-29 12:46:22:874 CN: new_year_set, uid:62s151p1475195, accumulative success, id:2
2018-12-29 12:48:32:430 CN: new_year_set, uid:62s155p1322627, accumulative success, id:2
2018-12-29 12:48:34:398 CN: new_year_set, uid:62s155p1322627, accumulative success, id:5
2018-12-29 12:51:51:658 CN: new_year_set, uid:62s160p1471191, accumulative success, id:2
2018-12-29 12:52:43:701 CN: new_year_set, uid:62s151p531187, accumulative success, id:2
2018-12-29 12:52:46:355 CN: new_year_set, uid:62s151p531187, accumulative success, id:5
2018-12-29 12:54:35:214 CN: new_year_set, uid:62s151p284989, accumulative success, id:2
2018-12-29 12:54:43:333 CN: new_year_set, uid:62s151p284989, accumulative success, id:5
2018-12-29 12:58:04:452 CN: new_year_set, uid:62s159p123419, accumulative success, id:2
2018-12-29 12:58:07:970 CN: new_year_set, uid:62s159p123419, accumulative success, id:5
2018-12-29 13:03:47:107 CN: new_year_set, uid:62s156p420731, accumulative success, id:2
2018-12-29 13:06:01:592 CN: new_year_set, uid:62s159p207966, accumulative success, id:2
2018-12-29 13:11:49:900 CN: new_year_set, uid:62s152p1647040, accumulative success, id:2
2018-12-29 13:18:11:367 CN: new_year_set, uid:62s152p1647040, accumulative success, id:5
2018-12-29 13:22:24:110 CN: new_year_set, uid:62s151p1504844, accumulative success, id:2
2018-12-29 13:22:28:139 CN: new_year_set, uid:62s151p1504844, accumulative success, id:5
2018-12-29 13:24:48:854 CN: new_year_set, uid:62s156p1443833, accumulative success, id:2
2018-12-29 13:24:54:726 CN: new_year_set, uid:62s156p1443833, accumulative success, id:5
2018-12-29 13:27:37:478 CN: new_year_set, uid:62s156p420731, accumulative success, id:5
2018-12-29 13:28:58:453 CN: new_year_set, uid:62s155p1437537, accumulative success, id:2
2018-12-29 13:29:22:860 CN: new_year_set, uid:62s155p1438890, accumulative success, id:2
2018-12-29 13:29:23:892 CN: new_year_set, uid:62s155p1438890, accumulative success, id:5
2018-12-29 13:31:34:397 CN: new_year_set, uid:62s157p1454633, accumulative success, id:2
2018-12-29 13:31:36:297 CN: new_year_set, uid:62s157p1454633, accumulative success, id:5
2018-12-29 13:34:11:254 CN: new_year_set, uid:62s152p1553879, accumulative success, id:2
2018-12-29 13:36:35:279 CN: new_year_set, uid:62s159p1460938, accumulative success, id:2
2018-12-29 13:36:36:312 CN: new_year_set, uid:62s159p1460938, accumulative success, id:5
2018-12-29 13:43:18:193 CN: new_year_set, uid:62s155p1585926, accumulative success, id:2
2018-12-29 13:43:19:543 CN: new_year_set, uid:62s155p1585926, accumulative success, id:5
2018-12-29 13:46:53:022 CN: new_year_set, uid:62s154p1427825, accumulative success, id:2
2018-12-29 13:47:16:425 CN: new_year_set, uid:62s155p1437537, accumulative success, id:5
2018-12-29 13:47:57:471 CN: new_year_set, uid:62s155p242443, accumulative success, id:2
2018-12-29 13:48:00:622 CN: new_year_set, uid:62s155p242443, accumulative success, id:5
2018-12-29 13:56:39:683 CN: new_year_set, uid:62s156p665908, accumulative success, id:5
2018-12-29 14:02:09:662 CN: new_year_set, uid:62s156p1444364, accumulative success, id:2
2018-12-29 14:02:14:809 CN: new_year_set, uid:62s156p1444364, accumulative success, id:5
2018-12-29 14:04:59:827 CN: new_year_set, uid:62s153p1422565, accumulative success, id:2
2018-12-29 14:23:14:256 CN: new_year_set, uid:62s151p1444053, accumulative success, id:2
2018-12-29 14:31:52:937 CN: new_year_set, uid:62s160p1471191, accumulative success, id:5
2018-12-29 14:43:15:846 CN: new_year_set, uid:62s155p1442788, accumulative success, id:2
2018-12-29 14:57:33:013 CN: new_year_set, uid:62s157p1234378, accumulative success, id:2
2018-12-29 14:57:37:028 CN: new_year_set, uid:62s157p1234378, accumulative success, id:5
2018-12-29 15:01:14:478 CN: new_year_set, uid:62s154p1427280, accumulative success, id:5
2018-12-29 15:03:13:942 CN: new_year_set, uid:62s160p1557163, accumulative success, id:2
2018-12-29 15:04:55:313 CN: new_year_set, uid:62s155p1442788, accumulative success, id:5
2018-12-29 15:08:12:985 CN: new_year_set, uid:62s158p1459418, accumulative success, id:5
2018-12-29 15:08:20:851 CN: new_year_set, uid:62s158p1459418, accumulative success, id:2
2018-12-29 15:17:02:848 CN: new_year_set, uid:62s154p1434630, accumulative success, id:2
2018-12-29 15:18:03:165 CN: new_year_set, uid:62s153p1422565, accumulative success, id:5
